"Time","power"
2024-11-23 08:40:20,0 W
2024-11-23 08:45:20,0 W
2024-11-23 08:50:20,0 W
2024-11-23 08:55:20,0 W
2024-11-23 09:00:20,0 W
2024-11-23 09:05:20,0 W
2024-11-23 09:10:20,0 W
2024-11-23 09:15:20,0 W
2024-11-23 09:20:20,0 W
2024-11-23 09:25:20,0 W
2024-11-23 09:30:20,0 W
2024-11-23 09:35:20,0 W
2024-11-23 09:40:20,0 W
2024-11-23 09:45:20,0 W
2024-11-23 09:50:20,0 W
2024-11-23 09:55:20,0 W
2024-11-23 10:00:20,0 W
2024-11-23 10:05:20,0 W
2024-11-23 10:10:20,0 W
2024-11-23 10:15:20,0 W
2024-11-23 10:20:20,0 W
2024-11-23 10:25:20,0 W
2024-11-23 10:30:20,0 W
2024-11-23 10:35:20,0 W
2024-11-23 10:40:20,0 W
2024-11-23 10:45:20,0 W
2024-11-23 10:50:20,0 W
2024-11-23 10:55:20,14.2 W
2024-11-23 11:00:20,12.9 W
2024-11-23 11:05:20,12.9 W
2024-11-23 11:10:20,12.8 W
2024-11-23 11:15:20,12.9 W
2024-11-23 11:20:20,13.0 W
2024-11-23 11:25:20,12.9 W
2024-11-23 11:30:20,12.9 W
2024-11-23 11:35:20,12.9 W
2024-11-23 11:40:20,12.9 W
2024-11-23 11:45:20,13.0 W
2024-11-23 11:50:20,13.0 W
2024-11-23 11:55:20,13.0 W
2024-11-23 12:00:20,12.7 W
2024-11-23 12:05:20,13 W
2024-11-23 12:10:20,163 W
2024-11-23 12:15:20,91.4 W
2024-11-23 12:20:20,124 W
2024-11-23 12:25:20,119 W
2024-11-23 12:30:20,111 W
2024-11-23 12:35:20,108 W
2024-11-23 12:40:20,113 W
2024-11-23 12:45:20,98.1 W
2024-11-23 12:50:20,13.0 W
2024-11-23 12:55:20,12.8 W
2024-11-23 13:00:20,12.8 W
2024-11-23 13:05:20,12.8 W
2024-11-23 13:10:20,12.8 W
2024-11-23 13:15:20,149 W
2024-11-23 13:20:20,94.8 W
2024-11-23 13:25:20,121 W
2024-11-23 13:30:20,115 W
2024-11-23 13:35:20,112 W
2024-11-23 13:40:20,108 W
2024-11-23 13:45:20,116 W
2024-11-23 13:50:20,95.8 W
2024-11-23 13:55:20,13.1 W
2024-11-23 14:00:20,12.7 W
2024-11-23 14:05:20,103 W
2024-11-23 14:10:20,78.2 W
2024-11-23 14:15:20,111 W
2024-11-23 14:20:20,108 W
2024-11-23 14:25:20,113 W
2024-11-23 14:30:20,111 W
2024-11-23 14:35:20,113 W
2024-11-23 14:40:20,114 W
2024-11-23 14:45:20,114 W
2024-11-23 14:50:20,98.0 W
2024-11-23 14:55:20,96.0 W
2024-11-23 15:00:20,93.3 W
2024-11-23 15:05:20,92.7 W
2024-11-23 15:10:20,14.8 W
2024-11-23 15:15:20,13.1 W
2024-11-23 15:20:20,12.9 W
2024-11-23 15:25:20,87.4 W
2024-11-23 15:30:20,78.2 W
2024-11-23 15:35:20,68.9 W
2024-11-23 16:15:20,12.9 W
2024-11-23 16:20:20,12.8 W
2024-11-23 16:25:20,12.9 W
2024-11-23 16:30:20,12.9 W
2024-11-23 16:35:20,13.1 W
2024-11-23 16:40:20,13.4 W
2024-11-23 16:45:20,103 W
2024-11-23 16:50:20,102 W
2024-11-23 16:55:20,118 W
2024-11-23 17:00:20,114 W
2024-11-23 17:05:20,110 W
2024-11-23 17:10:20,106 W
2024-11-23 17:15:20,102 W
2024-11-23 17:20:20,105 W
2024-11-23 17:25:20,104 W
2024-11-23 17:30:20,103 W
2024-11-23 17:35:20,103 W
2024-11-23 17:40:20,102 W
2024-11-23 17:45:20,104 W
2024-11-23 17:50:20,104 W
2024-11-23 17:55:20,98.6 W
2024-11-23 18:00:20,14.0 W
2024-11-23 18:05:20,13.0 W
2024-11-23 18:10:20,12.9 W
2024-11-23 18:15:20,12.9 W
2024-11-23 18:20:20,12.9 W
2024-11-23 18:25:20,13.2 W
2024-11-23 18:30:20,13.0 W
2024-11-23 18:35:20,13.1 W
2024-11-23 18:40:20,13.3 W
2024-11-23 18:45:20,13.2 W
2024-11-23 18:50:20,7.51 W
2024-11-23 18:55:20,0 W
2024-11-23 19:00:20,0 W
2024-11-23 19:05:20,0 W
2024-11-23 19:10:20,0 W
2024-11-23 19:15:20,0 W
2024-11-23 19:20:20,0 W
2024-11-23 19:25:20,0 W
2024-11-23 19:30:20,0 W
2024-11-23 19:35:20,0 W
2024-11-23 19:40:20,0 W
2024-11-23 19:45:20,0 W
2024-11-23 19:50:20,0 W
2024-11-23 19:55:20,0 W
2024-11-23 20:00:20,0 W
