"Time","power 3devo-recycling-station","power olsk-large-laser-1","power prusa-mini-1","power prusa-mini-2","power prusa-mk4-1","power prusa-mk4-2","power prusa-mk4-3","power prusa-xl-1"
2024-11-01 08:31:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 08:36:00,0 W,0 W,16.7 mW,0 W,0 W,0 W,0 W,0 W
2024-11-01 08:41:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 08:46:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-01 08:51:00,0 W,0 W,16.7 mW,25 mW,0 W,0 W,0 W,0 W
2024-11-01 08:56:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 09:01:00,0 W,0 W,20 mW,0 W,0 W,0 W,0 W,0 W
2024-11-01 09:06:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 09:11:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-01 09:16:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 09:21:00,0 W,0 W,20 mW,0 W,0 W,0 W,0 W,0 W
2024-11-01 09:26:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 09:31:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-01 09:36:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 09:41:00,0 W,0 W,20 mW,20 mW,0 W,0 W,0 W,0 W
2024-11-01 09:46:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-01 09:51:00,0 W,0 W,0 W,20 mW,0 W,0 W,0 W,0 W
2024-11-01 09:56:00,0 W,0 W,0 W,20 mW,0 W,0 W,7.22 W,0 W
2024-11-01 10:01:00,0 W,0 W,40 mW,0 W,0 W,0 W,13.1 W,0 W
2024-11-01 10:06:00,0 W,0 W,0 W,0 W,0 W,0 W,113 W,0 W
2024-11-01 10:11:00,0 W,0 W,0 W,0 W,0 W,0 W,93.9 W,0 W
2024-11-01 10:16:00,0 W,0 W,40 mW,0 W,0 W,0 W,75.5 W,0 W
2024-11-01 10:21:00,0 W,0 W,20 mW,0 W,0 W,0 W,93.7 W,0 W
2024-11-01 10:26:00,0 W,0 W,0 W,0 W,0 W,0 W,103 W,0 W
2024-11-01 10:31:00,0 W,0 W,0 W,0 W,0 W,0 W,117 W,0 W
2024-11-01 10:36:00,0 W,0 W,20 mW,40 mW,0 W,0 W,109 W,0 W
2024-11-01 10:41:00,0 W,0 W,0 W,20 mW,0 W,0 W,112 W,0 W
2024-11-01 10:46:00,0 W,0 W,0 W,20 mW,0 W,0 W,108 W,0 W
2024-11-01 10:51:00,0 W,0 W,20 mW,16.7 mW,0 W,0 W,111 W,0 W
2024-11-01 10:56:00,0 W,0 W,0 W,0 W,0 W,0 W,113 W,0 W
2024-11-01 11:01:00,0 W,0 W,0 W,0 W,0 W,0 W,109 W,0 W
2024-11-01 11:06:00,0 W,0 W,40 mW,20 mW,0 W,0 W,107 W,0 W
2024-11-01 11:11:00,0 W,0 W,0 W,0 W,0 W,0 W,108 W,0 W
2024-11-01 11:16:00,0 W,0 W,0 W,0 W,0 W,0 W,105 W,0 W
2024-11-01 11:21:00,0 W,0 W,20 mW,0 W,0 W,0 W,105 W,0 W
2024-11-01 11:26:00,0 W,0 W,40 mW,0 W,0 W,0 W,108 W,0 W
2024-11-01 11:31:00,0 W,0 W,0 W,20 mW,0 W,0 W,104 W,0 W
2024-11-01 11:36:00,0 W,0 W,33.3 mW,0 W,0 W,0 W,105 W,0 W
2024-11-01 11:41:00,0 W,0 W,0 W,20 mW,0 W,0 W,108 W,0 W
2024-11-01 11:46:00,0 W,0 W,20 mW,20 mW,0 W,0 W,98.7 W,0 W
2024-11-01 11:51:00,0 W,0 W,0 W,20 mW,0 W,0 W,104 W,0 W
2024-11-01 11:56:00,0 W,0 W,0 W,16.7 mW,0 W,0 W,107 W,0 W
2024-11-01 12:01:00,0 W,0 W,0 W,25 mW,0 W,0 W,102 W,0 W
2024-11-01 12:06:00,0 W,0 W,0 W,0 W,0 W,0 W,103 W,0 W
2024-11-01 12:11:00,0 W,0 W,20 mW,20 mW,0 W,0 W,101 W,0 W
2024-11-01 12:16:00,0 W,0 W,0 W,0 W,0 W,0 W,100 W,0 W
